community,household,biophysical,isOwner,income1,income2,income3,income4,income5,lotsize,years,parentsOwned,grandparentsOwned,greatgrandparentsOwned,totalRiverineHoldings,totalUplandHoldings,totalHoldings,totalRoca,percentRoca,totalQuintais,percentQuintais,totalCapoeira,percentCapoeira,totalMata,percentMata,totalAcai,kgPerHaAcai,acaiSold,acaiBuyer,personsRural,linkedHHs
Marajó Açú,169,Riverine,2,1,3,4,5,99,6,2,2,2,2,6,0,6,0,0,1,17,5,83,0,0,9000,1500,7500,1,5,3
Marajó Açú,170,Riverine,1,4,1,5,99,99,1.5,4,2,2,2,0,0,0,0,,0,,0,,0,,3000,,1800,1,7,3
Marajó Açú,171,Riverine,2,3,1,5,99,99,4,25,2,2,2,4,0,4,0,0,1,25,3,75,0,0,12000,3000,10500,2,2,5
Marajó Açú,172,Riverine,2,3,1,4,5,99,6,5,2,2,2,6,0,6,0,0,1,17,5,83,0,0,13500,2250,10500,5,5,2
Marajó Açú,173,Riverine,1,3,1,5,99,99,5,99,2,2,2,5,0,5,0,0,1,20,4,80,0,0,12750,2550,12000,1,2,3
Marajó Açú,174,Riverine,2,1,5,99,99,99,6,5,2,1,2,1,0,1,0,0,1,100,0,0,0,0,13500,13500,13500,5,3,3
Marajó Açú,175,Riverine,2,1,3,4,99,99,12,20,1,1,2,11,1,12,0,0,1,8,11,92,0,0,22500,2045,18000,5,3,1
Marajó Açú,176,Riverine,2,1,4,5,99,99,8,2,2,2,2,8,0,8,0,0,1,13,7,88,0,0,16500,2063,15000,1,3,2
Marajó Açú,177,Riverine,2,1,5,4,99,99,10,13,1,2,2,10,0,10,0,0,1,10,9,90,0,0,22500,2250,18000,5,4,2
Marajó Açú,178,Riverine,1,1,3,4,99,99,5,34,2,2,2,5,0,5,0,0,1,20,4,80,0,0,12000,2400,7500,5,6,1
Marajó Açú,179,Riverine,2,8,1,5,99,99,1,5,1,1,2,1,0,1,0,0,1,100,0,0,0,0,2625,2625,1200,5,4,1
Marajó Açú,180,Riverine,2,1,3,5,99,99,5,35,2,2,2,4,0,4,0,0,1,25,3,75,0,0,11250,2813,11250,99,3,1
Marajó Açú,181,Riverine,2,3,4,1,5,99,1,8,2,2,2,1,0,1,0,0,1,100,0,0,0,0,2700,2700,1200,1,6,1
Marajó Açú,182,Riverine,2,1,3,5,99,99,4,1,2,2,2,4,0,4,0,0,1,25,3,75,0,0,9000,2250,6000,5,3,2
Marajó Açú,183,Riverine,2,3,1,4,5,99,10,4,2,2,2,10,0,10,0,0,1,10,9,90,0,0,21000,2100,18750,2,4,2
Marajó Açú,184,Riverine,2,1,5,4,99,99,3,8,1,2,2,3,0,3,0,0,1,33,2,67,0,0,6000,2000,4500,1,6,1
Marajó Açú,185,Riverine,2,6,4,5,99,99,8,58,1,2,2,8,0,8,0,0,1,13,7,88,0,0,16500,2063,15000,1,4,3
São Miguel,186,Riverine,1,3,1,4,5,99,8,32,2,2,2,6,4,10,0,0,1,10,5,50,4,40,14250,2375,12000,1,8,11
São Miguel,187,Riverine,2,3,1,99,99,99,10,13,2,2,2,10,0,10,0,0,1,10,9,90,0,0,19500,1950,14250,5,2,5
São Miguel,188,Riverine,1,3,1,5,99,99,7,65,2,2,2,7,0,7,0,0,1,14,6,86,0,0,15000,2143,9000,5,4,5
São Miguel,189,Riverine,2,1,5,4,99,99,1,99,2,2,2,1,0,1,0,0,1,100,0,0,0,0,10500,10500,9300,2,4,5
São Miguel,190,Riverine,2,7,1,4,99,99,5,15,1,1,2,3,2,5,0,0,1,20,4,80,0,0,6750,2250,5250,1,4,6
São Miguel,191,Riverine,1,1,3,3,5,99,28,79,1,1,1,11,17,28,0,0,1,4,27,96,0,0,15000,1364,12000,5,3,6
São Miguel,192,Riverine,1,3,1,5,99,99,7,58,1,2,2,7,0,7,0,0,1,14,6,86,0,0,15000,2143,13500,1,7,6
São Miguel,193,Riverine,1,3,1,5,99,99,4,38,2,2,2,4,0,4,0,0,1,25,3,75,0,0,12000,3000,11250,2,2,7
São Miguel,194,Riverine,1,1,5,4,99,99,4,13,2,2,2,17,0,17,0,0,1,6,16,94,0,0,12750,750,11400,1,5,3
São Miguel,195,Riverine,2,3,1,5,99,99,13,99,2,2,2,7,0,7,0,0,1,14,6,86,0,0,13050,1864,12000,2,3,4
São Miguel,196,Riverine,2,3,3,1,4,5,3,26,1,1,2,2,1,3,0,0,1,33,2,67,0,0,2250,1125,1950,1,7,4
São Miguel,197,Riverine,1,1,3,4,99,99,5,15,2,1,2,3,2,5,0,0,3,60,2,40,0,0,7500,2500,4500,5,8,4
São Miguel,198,Riverine,2,8,1,5,99,99,2,4,2,2,2,2,0,2,0,0,1,50,1,50,0,0,3450,1725,1800,1,7,4
São Miguel,199,Riverine,1,1,4,99,99,99,3,12,1,2,2,3,0,3,0,0,1,33,2,67,0,0,7500,2500,5250,5,5,4
São Miguel,200,Riverine,2,1,5,4,99,99,6,99,1,1,1,6,0,6,0,0,1,17,4,67,1,16.66666667,10500,1750,8550,1,4,4
São Miguel,201,Riverine,2,3,1,4,5,99,12,18,2,2,2,12,0,12,0,0,1,8,11,92,0,0,19500,1625,45,2,6,4
São Miguel,202,Riverine,2,3,1,5,99,99,4,29,1,2,2,3,1,4,0,0,1,25,3,75,0,0,7500,2500,4500,5,3,4
São Miguel,203,Riverine,2,1,5,99,99,99,5,15,1,1,2,5,0,5,0,0,1,20,4,80,0,0,10500,2100,7500,5,4,4
São Miguel,204,Riverine,1,7,1,5,99,99,4,7,1,2,2,4,0,4,0,0,1,25,3,75,0,0,9000,2250,6000,5,2,4
São Miguel,205,Riverine,2,5,1,3,99,99,3,9,2,2,2,3,0,3,0,0,1,33,2,67,0,0,7500,2500,5250,5,2,2
São Miguel,206,Riverine,2,1,5,4,99,99,15,2,2,2,2,15,0,15,0,0,1,7,14,93,0,0,21000,1400,19500,2,3,3
Antônio Vieira,207,Upland,1,3,7,99,99,99,1,8,1,1,1,0,1,1,0,0,1,100,0,0,0,0,0,,99,99,3,1
Antônio Vieira,208,Upland,1,5,2,2,99,99,1,6,1,1,1,0,2,2,1,50,1,50,0,0,0,0,0,,99,99,5,1
Antônio Vieira,209,Upland,1,3,7,99,99,99,4,22,1,2,2,0,4,4,0,0,4,100,0,0,0,0,0,,99,99,3,4
Antônio Vieira,210,Upland,1,4,2,2,2,2,2,21,1,1,1,0,4,4,1,25,3,75,0,0,0,0,0,,99,99,7,1
Antônio Vieira,211,Upland,1,4,5,99,99,99,0.4,11,2,2,2,0,0.4,0.4,0,0,0.4,100,0,0,0,0,0,,99,99,4,0
Antônio Vieira,212,Upland,1,3,6,2,2,99,0.25,51,2,2,2,0,0.25,0.25,0,0,0.25,100,0,0,0,0,0,,99,99,5,6
Antônio Vieira,213,Upland,1,3,2,2,99,99,0.5,51,2,2,2,0,0.5,0.5,0,0,0.5,100,0,0,0,0,0,,99,99,2,1
Antônio Vieira,214,Upland,1,3,2,99,99,99,35,71,1,1,1,0,35,35,0,0,35,100,0,0,0,0,0,,99,99,2,1
Antônio Vieira,215,Upland,1,3,2,99,99,99,1,7,1,1,1,0,1,1,0,0,1,100,0,0,0,0,0,,99,99,1,1
Antônio Vieira,216,Upland,1,3,7,2,2,99,47,83,1,1,1,0,47,47,0,0,47,100,0,0,0,0,0,,99,99,2,1
Antônio Vieira,217,Upland,1,3,2,2,99,99,16,21,2,2,2,0,16,16,0,0,16,100,0,0,0,0,0,,99,99,1,1
Antônio Vieira,218,Upland,1,2,7,2,99,99,1,16,1,1,1,0,1,1,0,0,1,100,0,0,0,0,135,,99,99,8,1
Antônio Vieira,219,Upland,1,7,99,99,99,99,0.32,2,2,2,2,0,0.32,0.32,0,0,0.32,100,0,0,0,0,0,,99,99,3,4
Antônio Vieira,220,Upland,1,3,99,99,99,99,0.8,5,1,1,1,0,1.04,1.04,0,0,1.04,100,0,0,0,0,0,,99,99,3,4
Antônio Vieira,221,Upland,2,7,4,99,99,99,0.1,39,1,2,2,0.6,0,0.6,0,0,0.1,17,0,0,0.5,83.33333333,1500,2500,99,99,6,5
Antônio Vieira,222,Upland,2,7,6,99,99,99,0.3,23,1,2,2,0.3,0,0.3,0,0,0.3,100,0,0,0,0,0,0,99,99,4,7
Antônio Vieira,223,Upland,2,3,7,4,99,99,37.5,21,1,1,2,0,1,1,1,100,0,0,0,0,0,0,0,,99,99,3,4
Antônio Vieira,224,Upland,2,6,99,99,99,99,0.1,40,1,2,2,0.1,0,0.1,0,0,0.1,100,0,0,0,0,0,0,99,99,1,6
Antônio Vieira,225,Upland,1,3,3,7,99,99,1,72,1,2,2,0,1,1,0,0,1,100,0,0,0,0,0,,99,99,4,7
Antônio Vieira,226,Upland,1,3,7,99,99,99,1,71,1,1,1,0,1,1,0,0,1,100,0,0,0,0,0,,99,99,3,1
Antônio Vieira,227,Upland,1,3,8,6,99,99,0.25,19,2,2,2,0,0.24,0.24,0.12,50,0.12,50,0,0,0,0,0,,99,99,6,5
Antônio Vieira,228,Upland,1,3,99,99,99,99,0.5,41,1,2,2,0,0.5,0.5,0,0,0.5,100,0,0,0,0,0,,99,99,2,3
Antônio Vieira,229,Upland,1,5,4,6,99,99,1,19,1,1,1,0,1,1,0,0,1,100,0,0,0,0,0,,99,99,4,1
Antônio Vieira,230,Upland,2,5,3,6,99,99,4,7,1,2,2,0,4.5,4.5,1,22,3.5,78,0,0,0,0,0,,99,99,4,5
Antônio Vieira,231,Upland,2,5,4,99,99,99,0.09,18,1,2,2,0,0.094,0.094,0,0,0.094,100,0,0,0,0,0,,99,99,8,5
Antônio Vieira,232,Upland,1,3,5,7,99,99,0.16,17,2,2,2,0,0.41,0.41,0.25,61,0.16,39,0,0,0,0,0,,99,99,6,2
Antônio Vieira,233,Upland,1,2,4,5,2,99,1,17,1,1,1,0,1,1,0,0,1,100,0,0,0,0,0,,99,99,6,1
Antônio Vieira,234,Upland,1,3,6,99,99,99,30,30,2,2,2,0,30,30,0,0,30,100,0,0,0,0,0,,99,99,3,5
Antônio Vieira,235,Upland,1,3,6,99,99,99,1,1,2,2,2,0,1,1,0,0,1,100,0,0,0,0,0,,99,99,8,4
Antônio Vieira,236,Upland,2,7,99,99,99,99,0.38,3,2,2,2,0,0.375,0.375,0,0,0.375,100,0,0,0,0,0,,99,99,4,1
Antônio Vieira,237,Upland,1,3,7,99,99,99,6,42,1,2,2,0,6,6,0,0,6,100,0,0,0,0,0,,99,99,4,4
Antônio Vieira,238,Upland,2,2,4,9,99,99,10,9,2,2,2,0,16,16,6,38,10,63,0,0,0,0,0,,99,99,4,2
Antônio Vieira,239,Upland,1,2,3,4,99,99,0.5,13,2,2,2,0,0.75,0.75,0.25,33,0.5,67,0,0,0,0,0,,99,99,17,3
Antônio Vieira,240,Upland,1,5,2,2,99,99,0.125,20,2,2,2,0,0.125,0.125,0,0,0.125,100,0,0,0,0,0,,99,99,11,1
Antônio Vieira,241,Upland,1,3,2,99,99,99,24,81,1,1,1,0,24,24,0,0,24,100,0,0,0,0,0,,99,99,2,1
Antônio Vieira,242,Upland,1,5,4,99,99,99,0.25,11,1,1,1,0,0.25,0.25,0,0,0.25,100,0,0,0,0,0,,99,99,5,1
Antônio Vieira,243,Upland,1,7,5,6,99,99,3,23,1,2,2,0,3,3,0,0,3,100,0,0,0,0,0,,99,99,7,6
Antônio Vieira,244,Upland,1,3,5,2,99,99,0.25,41,2,2,2,0,0.25,0.25,0,0,0.25,100,0,0,0,0,0,,99,99,4,3
Antônio Vieira,245,Upland,1,5,4,2,99,99,0.5,16,1,1,1,2,0.5,2.5,0,0,0.5,20,0,0,2,80,5250,2625,1500,1,5,1
Antônio Vieira,246,Upland,1,7,3,99,99,99,0.12,4,1,1,1,0,0.12,0.12,0,0,0.12,100,0,0,0,0,0,,99,99,4,1
Antônio Vieira,247,Upland,2,7,4,99,99,99,0.5,11,2,2,2,0,0.5,0.5,0,0,0.5,100,0,0,0,0,0,,99,99,4,4
Antônio Vieira,248,Upland,2,7,6,99,99,99,0.5,16,2,2,2,0,0.5,0.5,0,0,0.5,100,0,0,0,0,0,,99,99,3,4
Antônio Vieira,249,Upland,1,8,6,99,99,99,0.04,13,2,2,2,0,0.04,0.04,0,0,0.04,100,0,0,0,0,0,,99,99,5,3
Antônio Vieira,250,Upland,2,6,4,99,99,99,0.2,1,2,2,2,0,0,0,0,,0,,0,,0,,0,,99,99,4,5
Antônio Vieira,251,Upland,1,8,8,99,99,99,12,23,2,2,2,0,12,12,0,0,12,100,0,0,0,0,0,,99,99,4,8
Antônio Vieira,252,Upland,2,3,99,99,99,99,0.32,7,2,2,2,0,0.32,0.32,0,0,0.32,100,0,0,0,0,0,,99,99,5,1
Antônio Vieira,253,Upland,2,3,2,99,99,99,0.03,37,2,2,2,0,2.53,2.53,0.5,20,0.03,1,2,79,0,0,500,,5250,1,5,3
Antônio Vieira,254,Upland,1,3,99,99,99,99,0.25,36,1,1,1,0,0.25,0.25,0,0,0.25,100,0,0,0,0,0,,99,99,4,2
Antônio Vieira,255,Upland,1,3,5,6,6,99,0.5,41,2,2,2,0,0.5,0.5,0,0,0.5,100,0,0,0,0,0,,99,99,5,6
Antônio Vieira,256,Upland,1,3,6,6,99,99,54,50,2,2,2,0,56,56,0,0,54,96,2,4,0,0,400,,6750,1,9,5
Antônio Vieira,257,Upland,2,6,99,99,99,99,1,75,1,2,2,0,1,1,0,0,1,100,0,0,0,0,0,,99,99,2,4
Antônio Vieira,258,Upland,2,6,4,99,99,99,0.3,8,1,1,2,0,0.3,0.3,0,0,0.3,100,0,0,0,0,0,,99,99,7,4
Antônio Vieira,259,Upland,2,2,5,7,99,99,2,7,1,2,2,0,2,2,0.5,25,1.5,75,0,0,0,0,0,,99,99,8,4
Antônio Vieira,260,Upland,2,3,99,99,99,99,24,49,1,2,2,0,24,24,0,0,24,100,0,0,0,0,0,,99,99,3,5
Antônio Vieira,261,Upland,2,3,99,99,99,99,10,68,2,2,2,0,10,10,0,0,10,100,0,0,0,0,0,,99,99,1,2
Antônio Vieira,262,Upland,1,7,99,99,99,99,0.4,21,2,2,2,0,0.4,0.4,0,0,0.4,100,0,0,0,0,0,,99,99,4,3
Foz de Mazagao,263,Riverine,1,1,3,6,5,2,100,19,2,2,2,4.9,0,4.9,0.4,8,1,20,3.5,71,0,0,0,0,1050,1,5,3
Foz de Mazagao,264,Riverine,2,1,4,5,99,99,1,2,1,2,2,1.4,0,1.4,0.4,29,1,71,0,0,0,0,0,0,99,1,6,1
Foz de Mazagao,265,Riverine,1,1,4,5,5,2,99,31,1,2,2,1.4,0,1.4,0.4,29,1,71,0,0,0,0,0,0,99,1,6,2
Foz de Mazagao,266,Riverine,1,5,1,5,3,3,100,52,1,1,1,0.5,0,0.5,0,0,0.5,100,0,0,0,0,6000,12000,1050,1,7,3
Foz de Mazagao,267,Riverine,1,1,6,5,99,99,1,1,1,1,1,0,0,0,0,,0,,0,,0,,0,,99,1,3,3
Foz de Mazagao,268,Riverine,1,1,8,3,4,4,100,51,1,1,1,16.4,0,16.4,0,0,5,30,11.4,70,0,0,3900,238,8250,1,13,2
Foz de Mazagao,269,Riverine,1,8,5,99,99,99,10,4,1,2,2,1.3,0,1.3,0,0,0.3,23,1,77,0,0,0,0,99,4,4,3
Foz de Mazagao,270,Riverine,1,1,5,4,99,99,25,2,1,1,2,0,0,0,0,,0,,0,,0,,600,,300,1,5,2
Foz de Mazagao,271,Riverine,1,3,1,99,99,99,100,41,2,2,2,7,0,7,0,0,2,29,5,71,0,0,3600,514,3000,1,2,3
Foz de Mazagao,272,Riverine,1,1,5,4,99,99,6,19,2,2,2,6,0,6,0,0,2,33,4,67,0,0,4650,775,2460,1,7,2
Foz de Mazagao,273,Riverine,1,1,5,6,4,99,100,16,2,2,2,3.4,0,3.4,0.4,12,1,29,2,59,0,0,5430,1597,3600,1,8,2
Foz de Mazagao,274,Riverine,1,2,1,99,99,99,100,21,2,2,2,25,0,25,0,0,5,20,20,80,0,0,3000,120,6000,1,4,8
Foz de Mazagao,275,Riverine,1,6,4,1,5,99,100,12,2,2,2,2,0,2,0,0,2,100,0,0,0,0,5250,2625,3060,1,6,4
Foz de Mazagao,276,Riverine,2,7,1,99,99,99,50,3,2,2,2,0,0,0,0,,0,,0,,0,,2700,,1800,1,4,1
Foz de Mazagao,277,Riverine,1,1,3,2,99,99,10,30,1,1,2,0,0,0,0,,0,,0,,0,,6570,,4380,1,5,1
Foz de Mazagao,278,Riverine,1,1,5,7,99,99,16,5,2,2,2,2,0,2,0,0,2,100,0,0,0,0,0,0,99,1,4,4
Foz de Mazagao,279,Riverine,1,1,5,6,2,99,5,2,2,2,2,0,0,0,0,,0,,0,,0,,3360,,1200,1,7,2
Foz de Mazagao,280,Riverine,1,1,5,6,4,99,6,5,2,2,2,3,0,3,0,0,3,100,0,0,0,0,2190,730,99,1,5,6
Foz de Mazagao,281,Riverine,1,2,7,99,99,99,5,1,2,2,2,0,0,0,0,,0,,0,,0,,0,,99,99,3,3
Foz de Mazagao,282,Riverine,1,7,4,2,99,99,50,11,2,2,2,0,0,0,0,,0,,0,,0,,720,,99,99,4,3
Foz de Mazagao,283,Riverine,1,3,3,4,99,99,17,5,2,2,2,2,0,2,0,0,2,100,0,0,0,0,1200,600,99,99,2,7
Foz de Mazagao,284,Riverine,1,5,8,4,5,3,52,7,1,2,2,2.2,0,2.2,0.2,9,2,91,0,0,0,0,2190,995,99,99,6,5
Foz de Mazagao,285,Riverine,1,1,6,3,99,99,100,21,1,1,1,0,0,0,0,,0,,0,,0,,3900,,2190,1,13,4
Foz de Mazagao,286,Riverine,1,7,6,1,6,99,15,21,2,2,2,4.5,0,4.5,0,0,4.5,100,0,0,0,0,2895,643,1800,1,1,10
Foz de Mazagao,287,Riverine,1,1,5,7,99,99,3,8,2,2,2,3,0,3,0,0,3,100,0,0,0,0,2610,870,420,1,4,1
Foz de Mazagao,288,Riverine,1,1,5,4,99,99,4,11,1,2,2,4,0,4,0,0,4,100,0,0,0,0,6000,1500,3810,3,6,5
Foz de Mazagao,289,Riverine,1,5,4,7,99,99,5,2,2,2,2,6,0,6,0,0,6,100,0,0,0,0,600,100,99,99,7,2
Foz de Mazagao,290,Riverine,2,1,6,5,99,99,100,2,2,2,2,2,0,2,0,0,2,100,0,0,0,0,600,300,99,99,3,1
Foz de Mazagao,291,Riverine,1,1,8,5,4,99,20,17,1,2,2,1,0,1,0,0,1,100,0,0,0,0,7590,7590,5400,1,7,5
Foz de Mazagao,292,Riverine,1,6,4,99,99,99,10,2,2,2,2,0,0,0,0,,0,,0,,0,,3000,,99,99,4,3
Foz de Mazagao,293,Riverine,1,1,4,7,99,99,50,99,1,1,2,0,0,0,0,,0,,0,,0,,5190,,3000,1,9,6
Foz de Mazagao,294,Riverine,1,1,6,4,99,99,1,13,2,2,2,0.6,0,0.6,0,0,0.6,100,0,0,0,0,2920,4867,2190,1,9,1
Foz de Mazagao,295,Riverine,1,4,4,5,7,1,7,12,2,2,2,1,0,1,0,0,1,100,0,0,0,0,2280,2280,2190,1,10,2
Foz de Mazagao,296,Riverine,2,7,99,99,99,99,99,2,2,2,2,0,0,0,0,,0,,0,,0,,2190,,99,99,5,5
Foz de Mazagao,297,Riverine,1,5,1,99,99,99,3,4,2,2,2,0,0,0,0,,0,,0,,0,,2370,,180,1,5,3
Foz de Mazagao,298,Riverine,2,7,4,5,99,99,99,11,1,2,2,0,0,0,0,,0,,0,,0,,1095,,99,99,5,1
Foz de Mazagao,299,Riverine,2,7,4,99,99,99,99,6,2,2,2,1,0,1,0,0,1,100,0,0,0,0,8160,8160,3780,1,6,9
Foz de Mazagao,300,Riverine,2,3,1,99,99,99,17,20,2,2,2,0,0,0,0,,0,,0,,0,,2760,,600,1,4,3
Foz de Mazagao,301,Riverine,2,7,4,99,99,99,99,20,2,2,2,1,0,1,0,0,1,100,0,0,0,0,2190,2190,99,99,6,4
Foz de Mazagao,302,Riverine,1,3,2,2,99,99,98,36,2,2,2,5,0,5,0,0,5,100,0,0,0,0,4380,876,700,4,2,5
Foz de Mazagao,303,Riverine,1,6,99,99,99,99,6,7,2,2,2,0,0,0,0,,0,,0,,0,,1095,,300,1,4,9
Foz de Mazagao,304,Riverine,2,8,4,1,5,6,10,20,2,2,2,3,0,3,0,0,3,100,0,0,0,0,4380,1460,1800,1,11,3
Foz de Mazagao,305,Riverine,1,6,1,7,99,99,30,28,1,1,2,0,0,0,0,,0,,0,,0,,4380,,3000,1,7,4
Foz de Mazagao,306,Riverine,1,1,5,99,99,99,25,10,2,2,2,0,0,0,0,,0,,0,,0,,4380,,3000,1,1,5
Foz de Mazagao,307,Riverine,1,1,8,5,99,99,100,29,2,2,2,5.8,0,5.8,0.8,14,5,86,0,0,0,0,7872,1357,6000,1,3,6
Carmo de Maruanum,308,Upland,1,3,3,99,99,99,99,99,1,1,1,0,1.5,1.5,1,67,0.5,33,0,0,0,0,0,,99,99,3,7
Carmo de Maruanum,309,Upland,1,6,8,6,99,99,99,99,1,1,1,0,0,0,0,,0,,0,,0,,0,,99,99,7,1
Carmo de Maruanum,310,Upland,1,3,2,99,99,99,99,99,1,1,1,0,1,1,0.8,80,0.2,20,0,0,0,0,0,,99,99,2,5
São Pedro,311,Upland,1,8,6,99,99,99,99,99,1,1,1,0,1.2,1.2,0.8,67,0.4,33,0,0,0,0,18000,,99,99,5,5
Carmo de Maruanum,312,Upland,1,3,3,99,99,99,99,99,1,1,1,0,0,0,0,,0,,0,,0,,0,,99,99,4,7
Carmo de Maruanum,313,Upland,1,3,4,4,3,99,99,99,1,1,1,0,0.8,0.8,0.4,50,0.4,50,0,0,0,0,0,,99,99,5,1
Carmo de Maruanum,314,Upland,1,4,6,99,99,99,99,99,1,1,1,0,0.6,0.6,0.4,67,0.2,33,0,0,0,0,0,,99,99,4,6
Carmo de Maruanum,315,Upland,1,6,7,2,99,99,99,99,1,1,1,0,0.2,0.2,0,0,0.2,100,0,0,0,0,0,,99,99,4,4
Torrão de Maruanum,316,Upland,1,7,4,2,99,99,99,99,1,1,1,0,2.4,2.4,0.4,17,2,83,0,0,0,0,0,,99,99,6,7
Torrão de Maruanum,317,Upland,1,3,2,99,99,99,99,99,1,1,1,0,0,0,0,,0,,0,,0,,0,,99,99,2,4
Torrão de Maruanum,318,Upland,1,2,3,99,99,99,99,99,1,1,1,0,1.4,1.4,0.4,29,1,71,0,0,0,0,0,,99,99,3,2
Torrão de Maruanum,319,Upland,1,2,4,6,99,99,99,99,1,1,1,0,1.8,1.8,0.8,44,1,56,0,0,0,0,0,,99,99,5,4
Santa Luzia,320,Upland,1,4,7,6,99,99,99,99,1,1,1,0,0.4,0.4,0.4,100,0,0,0,0,0,0,0,,99,99,11,2
Santa Luzia,321,Upland,1,3,4,99,99,99,99,99,1,1,1,0,0,0,0,,0,,0,,0,,0,,99,99,5,3
Santa Luzia,322,Upland,1,4,4,2,99,99,99,99,1,1,1,0,1,1,0.8,80,0.2,20,0,0,0,0,0,,99,99,8,3
Santa Luzia,323,Upland,1,2,4,99,99,99,99,99,1,1,1,0,1,1,0.8,80,0.2,20,0,0,0,0,1800,,99,99,7,2
Carmo de Maruanum,324,Upland,1,3,99,99,99,99,99,99,2,2,2,0,0.4,0.4,0,0,0.4,100,0,0,0,0,0,,99,99,2,3
Maruanum II,325,Upland,1,2,6,4,99,99,99,99,2,2,2,0,2.8,2.8,1.6,57,1.2,43,0,0,0,0,0,,99,99,7,4
Maruanum II,326,Upland,1,3,4,99,99,99,99,99,1,1,1,0,1,1,0,0,1,100,0,0,0,0,0,,99,99,5,2
Maruanum II,327,Upland,1,2,4,99,99,99,99,99,1,1,1,0,1.8,1.8,0.8,44,1,56,0,0,0,0,0,,99,99,10,1
Maruanum II,328,Upland,1,7,2,99,99,99,99,99,1,1,1,0,1.05,1.05,0.8,76,0.25,24,0,0,0,0,0,,99,99,3,4
Maruanum II,329,Upland,1,3,2,99,99,99,99,99,1,1,1,0,1.3,1.3,0.8,62,0.5,38,0,0,0,0,1440,,99,99,6,5
Maruanum II,330,Upland,2,8,99,99,99,99,99,99,2,2,2,0,0,0,0,,0,,0,,0,,0,,99,99,3,4
